Condition	Info	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8	TaskObject#9	TaskObject#10	TaskObject#11	TaskObject#12	TaskObject#13	TaskObject#14	TaskObject#15	TaskObject#16	TaskObject#17
128	'imgPerTrial',009,'fixationImage01ID',010,'fixationImage02ID',021,'fixationImage03ID',032,'fixationImage04ID',043,'fixationImage05ID',054,'fixationImage06ID',065,'fixationImage07ID',076,'fixationImage08ID',087,'fixationImage09ID',098,'fixationImage10ID',001,'fixationImage01File','.\stim\010','fixationImage02File','.\stim\021','fixationImage03File','.\stim\032','fixationImage04File','.\stim\043','fixationImage05File','.\stim\054','fixationImage06File','.\stim\065','fixationImage07File','.\stim\076','fixationImage08File','.\stim\087','fixationImage09File','.\stim\098','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\010, 0, 0)	pic(.\stim\021, 0, 0)	pic(.\stim\032, 0, 0)	pic(.\stim\043, 0, 0)	pic(.\stim\054, 0, 0)	pic(.\stim\065, 0, 0)	pic(.\stim\076, 0, 0)	pic(.\stim\087, 0, 0)	pic(.\stim\098, 0, 0)	pic(.\stim\001, 0, 0)
129	'imgPerTrial',009,'fixationImage01ID',094,'fixationImage02ID',083,'fixationImage03ID',072,'fixationImage04ID',061,'fixationImage05ID',050,'fixationImage06ID',039,'fixationImage07ID',028,'fixationImage08ID',017,'fixationImage09ID',006,'fixationImage10ID',001,'fixationImage01File','.\stim\094','fixationImage02File','.\stim\083','fixationImage03File','.\stim\072','fixationImage04File','.\stim\061','fixationImage05File','.\stim\050','fixationImage06File','.\stim\039','fixationImage07File','.\stim\028','fixationImage08File','.\stim\017','fixationImage09File','.\stim\006','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\094, 0, 0)	pic(.\stim\083, 0, 0)	pic(.\stim\072, 0, 0)	pic(.\stim\061, 0, 0)	pic(.\stim\050, 0, 0)	pic(.\stim\039, 0, 0)	pic(.\stim\028, 0, 0)	pic(.\stim\017, 0, 0)	pic(.\stim\006, 0, 0)	pic(.\stim\001, 0, 0)
130	'imgPerTrial',009,'fixationImage01ID',090,'fixationImage02ID',079,'fixationImage03ID',068,'fixationImage04ID',057,'fixationImage05ID',046,'fixationImage06ID',035,'fixationImage07ID',024,'fixationImage08ID',013,'fixationImage09ID',002,'fixationImage10ID',001,'fixationImage01File','.\stim\090','fixationImage02File','.\stim\079','fixationImage03File','.\stim\068','fixationImage04File','.\stim\057','fixationImage05File','.\stim\046','fixationImage06File','.\stim\035','fixationImage07File','.\stim\024','fixationImage08File','.\stim\013','fixationImage09File','.\stim\002','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\090, 0, 0)	pic(.\stim\079, 0, 0)	pic(.\stim\068, 0, 0)	pic(.\stim\057, 0, 0)	pic(.\stim\046, 0, 0)	pic(.\stim\035, 0, 0)	pic(.\stim\024, 0, 0)	pic(.\stim\013, 0, 0)	pic(.\stim\002, 0, 0)	pic(.\stim\001, 0, 0)
131	'imgPerTrial',009,'fixationImage01ID',011,'fixationImage02ID',022,'fixationImage03ID',033,'fixationImage04ID',044,'fixationImage05ID',055,'fixationImage06ID',066,'fixationImage07ID',077,'fixationImage08ID',088,'fixationImage09ID',099,'fixationImage10ID',001,'fixationImage01File','.\stim\011','fixationImage02File','.\stim\022','fixationImage03File','.\stim\033','fixationImage04File','.\stim\044','fixationImage05File','.\stim\055','fixationImage06File','.\stim\066','fixationImage07File','.\stim\077','fixationImage08File','.\stim\088','fixationImage09File','.\stim\099','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\011, 0, 0)	pic(.\stim\022, 0, 0)	pic(.\stim\033, 0, 0)	pic(.\stim\044, 0, 0)	pic(.\stim\055, 0, 0)	pic(.\stim\066, 0, 0)	pic(.\stim\077, 0, 0)	pic(.\stim\088, 0, 0)	pic(.\stim\099, 0, 0)	pic(.\stim\001, 0, 0)
132	'imgPerTrial',009,'fixationImage01ID',006,'fixationImage02ID',017,'fixationImage03ID',028,'fixationImage04ID',039,'fixationImage05ID',050,'fixationImage06ID',061,'fixationImage07ID',072,'fixationImage08ID',083,'fixationImage09ID',094,'fixationImage10ID',001,'fixationImage01File','.\stim\006','fixationImage02File','.\stim\017','fixationImage03File','.\stim\028','fixationImage04File','.\stim\039','fixationImage05File','.\stim\050','fixationImage06File','.\stim\061','fixationImage07File','.\stim\072','fixationImage08File','.\stim\083','fixationImage09File','.\stim\094','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\006, 0, 0)	pic(.\stim\017, 0, 0)	pic(.\stim\028, 0, 0)	pic(.\stim\039, 0, 0)	pic(.\stim\050, 0, 0)	pic(.\stim\061, 0, 0)	pic(.\stim\072, 0, 0)	pic(.\stim\083, 0, 0)	pic(.\stim\094, 0, 0)	pic(.\stim\001, 0, 0)
133	'imgPerTrial',009,'fixationImage01ID',011,'fixationImage02ID',022,'fixationImage03ID',033,'fixationImage04ID',044,'fixationImage05ID',055,'fixationImage06ID',066,'fixationImage07ID',077,'fixationImage08ID',088,'fixationImage09ID',099,'fixationImage10ID',001,'fixationImage01File','.\stim\011','fixationImage02File','.\stim\022','fixationImage03File','.\stim\033','fixationImage04File','.\stim\044','fixationImage05File','.\stim\055','fixationImage06File','.\stim\066','fixationImage07File','.\stim\077','fixationImage08File','.\stim\088','fixationImage09File','.\stim\099','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\011, 0, 0)	pic(.\stim\022, 0, 0)	pic(.\stim\033, 0, 0)	pic(.\stim\044, 0, 0)	pic(.\stim\055, 0, 0)	pic(.\stim\066, 0, 0)	pic(.\stim\077, 0, 0)	pic(.\stim\088, 0, 0)	pic(.\stim\099, 0, 0)	pic(.\stim\001, 0, 0)
134	'imgPerTrial',009,'fixationImage01ID',099,'fixationImage02ID',088,'fixationImage03ID',077,'fixationImage04ID',066,'fixationImage05ID',055,'fixationImage06ID',044,'fixationImage07ID',033,'fixationImage08ID',022,'fixationImage09ID',011,'fixationImage10ID',001,'fixationImage01File','.\stim\099','fixationImage02File','.\stim\088','fixationImage03File','.\stim\077','fixationImage04File','.\stim\066','fixationImage05File','.\stim\055','fixationImage06File','.\stim\044','fixationImage07File','.\stim\033','fixationImage08File','.\stim\022','fixationImage09File','.\stim\011','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	8	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\099, 0, 0)	pic(.\stim\088, 0, 0)	pic(.\stim\077, 0, 0)	pic(.\stim\066, 0, 0)	pic(.\stim\055, 0, 0)	pic(.\stim\044, 0, 0)	pic(.\stim\033, 0, 0)	pic(.\stim\022, 0, 0)	pic(.\stim\011, 0, 0)	pic(.\stim\001, 0, 0)
135	'imgPerTrial',009,'fixationImage01ID',009,'fixationImage02ID',020,'fixationImage03ID',031,'fixationImage04ID',042,'fixationImage05ID',053,'fixationImage06ID',064,'fixationImage07ID',075,'fixationImage08ID',086,'fixationImage09ID',097,'fixationImage10ID',001,'fixationImage01File','.\stim\009','fixationImage02File','.\stim\020','fixationImage03File','.\stim\031','fixationImage04File','.\stim\042','fixationImage05File','.\stim\053','fixationImage06File','.\stim\064','fixationImage07File','.\stim\075','fixationImage08File','.\stim\086','fixationImage09File','.\stim\097','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	8	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\009, 0, 0)	pic(.\stim\020, 0, 0)	pic(.\stim\031, 0, 0)	pic(.\stim\042, 0, 0)	pic(.\stim\053, 0, 0)	pic(.\stim\064, 0, 0)	pic(.\stim\075, 0, 0)	pic(.\stim\086, 0, 0)	pic(.\stim\097, 0, 0)	pic(.\stim\001, 0, 0)
136	'imgPerTrial',009,'fixationImage01ID',099,'fixationImage02ID',088,'fixationImage03ID',077,'fixationImage04ID',066,'fixationImage05ID',055,'fixationImage06ID',044,'fixationImage07ID',033,'fixationImage08ID',022,'fixationImage09ID',011,'fixationImage10ID',001,'fixationImage01File','.\stim\099','fixationImage02File','.\stim\088','fixationImage03File','.\stim\077','fixationImage04File','.\stim\066','fixationImage05File','.\stim\055','fixationImage06File','.\stim\044','fixationImage07File','.\stim\033','fixationImage08File','.\stim\022','fixationImage09File','.\stim\011','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	8	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\099, 0, 0)	pic(.\stim\088, 0, 0)	pic(.\stim\077, 0, 0)	pic(.\stim\066, 0, 0)	pic(.\stim\055, 0, 0)	pic(.\stim\044, 0, 0)	pic(.\stim\033, 0, 0)	pic(.\stim\022, 0, 0)	pic(.\stim\011, 0, 0)	pic(.\stim\001, 0, 0)
137	'imgPerTrial',009,'fixationImage01ID',091,'fixationImage02ID',080,'fixationImage03ID',069,'fixationImage04ID',058,'fixationImage05ID',047,'fixationImage06ID',036,'fixationImage07ID',025,'fixationImage08ID',014,'fixationImage09ID',003,'fixationImage10ID',001,'fixationImage01File','.\stim\091','fixationImage02File','.\stim\080','fixationImage03File','.\stim\069','fixationImage04File','.\stim\058','fixationImage05File','.\stim\047','fixationImage06File','.\stim\036','fixationImage07File','.\stim\025','fixationImage08File','.\stim\014','fixationImage09File','.\stim\003','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	8	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\091, 0, 0)	pic(.\stim\080, 0, 0)	pic(.\stim\069, 0, 0)	pic(.\stim\058, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\036, 0, 0)	pic(.\stim\025, 0, 0)	pic(.\stim\014, 0, 0)	pic(.\stim\003, 0, 0)	pic(.\stim\001, 0, 0)
138	'imgPerTrial',009,'fixationImage01ID',093,'fixationImage02ID',082,'fixationImage03ID',071,'fixationImage04ID',060,'fixationImage05ID',049,'fixationImage06ID',038,'fixationImage07ID',027,'fixationImage08ID',016,'fixationImage09ID',005,'fixationImage10ID',001,'fixationImage01File','.\stim\093','fixationImage02File','.\stim\082','fixationImage03File','.\stim\071','fixationImage04File','.\stim\060','fixationImage05File','.\stim\049','fixationImage06File','.\stim\038','fixationImage07File','.\stim\027','fixationImage08File','.\stim\016','fixationImage09File','.\stim\005','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	8	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\093, 0, 0)	pic(.\stim\082, 0, 0)	pic(.\stim\071, 0, 0)	pic(.\stim\060, 0, 0)	pic(.\stim\049, 0, 0)	pic(.\stim\038, 0, 0)	pic(.\stim\027, 0, 0)	pic(.\stim\016, 0, 0)	pic(.\stim\005, 0, 0)	pic(.\stim\001, 0, 0)
139	'imgPerTrial',009,'fixationImage01ID',005,'fixationImage02ID',016,'fixationImage03ID',027,'fixationImage04ID',038,'fixationImage05ID',049,'fixationImage06ID',060,'fixationImage07ID',071,'fixationImage08ID',082,'fixationImage09ID',093,'fixationImage10ID',001,'fixationImage01File','.\stim\005','fixationImage02File','.\stim\016','fixationImage03File','.\stim\027','fixationImage04File','.\stim\038','fixationImage05File','.\stim\049','fixationImage06File','.\stim\060','fixationImage07File','.\stim\071','fixationImage08File','.\stim\082','fixationImage09File','.\stim\093','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	8	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\005, 0, 0)	pic(.\stim\016, 0, 0)	pic(.\stim\027, 0, 0)	pic(.\stim\038, 0, 0)	pic(.\stim\049, 0, 0)	pic(.\stim\060, 0, 0)	pic(.\stim\071, 0, 0)	pic(.\stim\082, 0, 0)	pic(.\stim\093, 0, 0)	pic(.\stim\001, 0, 0)
140	'imgPerTrial',009,'fixationImage01ID',008,'fixationImage02ID',019,'fixationImage03ID',030,'fixationImage04ID',041,'fixationImage05ID',052,'fixationImage06ID',063,'fixationImage07ID',074,'fixationImage08ID',085,'fixationImage09ID',096,'fixationImage10ID',001,'fixationImage01File','.\stim\008','fixationImage02File','.\stim\019','fixationImage03File','.\stim\030','fixationImage04File','.\stim\041','fixationImage05File','.\stim\052','fixationImage06File','.\stim\063','fixationImage07File','.\stim\074','fixationImage08File','.\stim\085','fixationImage09File','.\stim\096','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	8	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\008, 0, 0)	pic(.\stim\019, 0, 0)	pic(.\stim\030, 0, 0)	pic(.\stim\041, 0, 0)	pic(.\stim\052, 0, 0)	pic(.\stim\063, 0, 0)	pic(.\stim\074, 0, 0)	pic(.\stim\085, 0, 0)	pic(.\stim\096, 0, 0)	pic(.\stim\001, 0, 0)
141	'imgPerTrial',009,'fixationImage01ID',094,'fixationImage02ID',083,'fixationImage03ID',072,'fixationImage04ID',061,'fixationImage05ID',050,'fixationImage06ID',039,'fixationImage07ID',028,'fixationImage08ID',017,'fixationImage09ID',006,'fixationImage10ID',001,'fixationImage01File','.\stim\094','fixationImage02File','.\stim\083','fixationImage03File','.\stim\072','fixationImage04File','.\stim\061','fixationImage05File','.\stim\050','fixationImage06File','.\stim\039','fixationImage07File','.\stim\028','fixationImage08File','.\stim\017','fixationImage09File','.\stim\006','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	8	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\094, 0, 0)	pic(.\stim\083, 0, 0)	pic(.\stim\072, 0, 0)	pic(.\stim\061, 0, 0)	pic(.\stim\050, 0, 0)	pic(.\stim\039, 0, 0)	pic(.\stim\028, 0, 0)	pic(.\stim\017, 0, 0)	pic(.\stim\006, 0, 0)	pic(.\stim\001, 0, 0)
142	'imgPerTrial',009,'fixationImage01ID',002,'fixationImage02ID',013,'fixationImage03ID',024,'fixationImage04ID',035,'fixationImage05ID',046,'fixationImage06ID',057,'fixationImage07ID',068,'fixationImage08ID',079,'fixationImage09ID',090,'fixationImage10ID',001,'fixationImage01File','.\stim\002','fixationImage02File','.\stim\013','fixationImage03File','.\stim\024','fixationImage04File','.\stim\035','fixationImage05File','.\stim\046','fixationImage06File','.\stim\057','fixationImage07File','.\stim\068','fixationImage08File','.\stim\079','fixationImage09File','.\stim\090','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	8	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\002, 0, 0)	pic(.\stim\013, 0, 0)	pic(.\stim\024, 0, 0)	pic(.\stim\035, 0, 0)	pic(.\stim\046, 0, 0)	pic(.\stim\057, 0, 0)	pic(.\stim\068, 0, 0)	pic(.\stim\079, 0, 0)	pic(.\stim\090, 0, 0)	pic(.\stim\001, 0, 0)
143	'imgPerTrial',009,'fixationImage01ID',089,'fixationImage02ID',078,'fixationImage03ID',067,'fixationImage04ID',056,'fixationImage05ID',045,'fixationImage06ID',034,'fixationImage07ID',023,'fixationImage08ID',012,'fixationImage09ID',001,'fixationImage10ID',001,'fixationImage01File','.\stim\089','fixationImage02File','.\stim\078','fixationImage03File','.\stim\067','fixationImage04File','.\stim\056','fixationImage05File','.\stim\045','fixationImage06File','.\stim\034','fixationImage07File','.\stim\023','fixationImage08File','.\stim\012','fixationImage09File','.\stim\001','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	8	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\089, 0, 0)	pic(.\stim\078, 0, 0)	pic(.\stim\067, 0, 0)	pic(.\stim\056, 0, 0)	pic(.\stim\045, 0, 0)	pic(.\stim\034, 0, 0)	pic(.\stim\023, 0, 0)	pic(.\stim\012, 0, 0)	pic(.\stim\001, 0, 0)	pic(.\stim\001, 0, 0)
144	'imgPerTrial',009,'fixationImage01ID',011,'fixationImage02ID',022,'fixationImage03ID',033,'fixationImage04ID',044,'fixationImage05ID',055,'fixationImage06ID',066,'fixationImage07ID',077,'fixationImage08ID',088,'fixationImage09ID',099,'fixationImage10ID',001,'fixationImage01File','.\stim\011','fixationImage02File','.\stim\022','fixationImage03File','.\stim\033','fixationImage04File','.\stim\044','fixationImage05File','.\stim\055','fixationImage06File','.\stim\066','fixationImage07File','.\stim\077','fixationImage08File','.\stim\088','fixationImage09File','.\stim\099','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	8	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\011, 0, 0)	pic(.\stim\022, 0, 0)	pic(.\stim\033, 0, 0)	pic(.\stim\044, 0, 0)	pic(.\stim\055, 0, 0)	pic(.\stim\066, 0, 0)	pic(.\stim\077, 0, 0)	pic(.\stim\088, 0, 0)	pic(.\stim\099, 0, 0)	pic(.\stim\001, 0, 0)
145	'imgPerTrial',009,'fixationImage01ID',008,'fixationImage02ID',019,'fixationImage03ID',030,'fixationImage04ID',041,'fixationImage05ID',052,'fixationImage06ID',063,'fixationImage07ID',074,'fixationImage08ID',085,'fixationImage09ID',096,'fixationImage10ID',001,'fixationImage01File','.\stim\008','fixationImage02File','.\stim\019','fixationImage03File','.\stim\030','fixationImage04File','.\stim\041','fixationImage05File','.\stim\052','fixationImage06File','.\stim\063','fixationImage07File','.\stim\074','fixationImage08File','.\stim\085','fixationImage09File','.\stim\096','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	8	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\008, 0, 0)	pic(.\stim\019, 0, 0)	pic(.\stim\030, 0, 0)	pic(.\stim\041, 0, 0)	pic(.\stim\052, 0, 0)	pic(.\stim\063, 0, 0)	pic(.\stim\074, 0, 0)	pic(.\stim\085, 0, 0)	pic(.\stim\096, 0, 0)	pic(.\stim\001, 0, 0)
146	'imgPerTrial',009,'fixationImage01ID',091,'fixationImage02ID',080,'fixationImage03ID',069,'fixationImage04ID',058,'fixationImage05ID',047,'fixationImage06ID',036,'fixationImage07ID',025,'fixationImage08ID',014,'fixationImage09ID',003,'fixationImage10ID',001,'fixationImage01File','.\stim\091','fixationImage02File','.\stim\080','fixationImage03File','.\stim\069','fixationImage04File','.\stim\058','fixationImage05File','.\stim\047','fixationImage06File','.\stim\036','fixationImage07File','.\stim\025','fixationImage08File','.\stim\014','fixationImage09File','.\stim\003','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	8	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\091, 0, 0)	pic(.\stim\080, 0, 0)	pic(.\stim\069, 0, 0)	pic(.\stim\058, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\036, 0, 0)	pic(.\stim\025, 0, 0)	pic(.\stim\014, 0, 0)	pic(.\stim\003, 0, 0)	pic(.\stim\001, 0, 0)
